timestamp,target_population,current_population,object_type,operation,duration_sec,cpu_percent,memory_percent,status_code,error
2025-04-07T22:12:37.809263,10,10,todos,CREATE,0.0030625000363215804,35.3,80.9,201,
2025-04-07T22:12:37.812552,10,11,todos,UPDATE,0.0033025830052793026,0.0,80.9,200,
2025-04-07T22:12:37.815965,10,11,todos,DELETE,0.0026071250322274864,50.0,80.9,200,
2025-04-07T22:12:37.818615,10,10,todos,DELETE,0.004745999991428107,33.3,80.9,200,
2025-04-07T22:12:37.823405,10,9,todos,CREATE,0.0033707499969750643,66.7,80.9,201,
2025-04-07T22:12:37.826934,10,10,todos,DELETE,0.0034000420127995312,50.0,80.9,200,
2025-04-07T22:12:37.830419,10,9,todos,CREATE,0.0036007080343551934,80.0,80.9,201,
2025-04-07T22:12:37.834088,10,10,todos,CREATE,0.0062601250247098505,66.7,80.9,201,
2025-04-07T22:12:37.840458,10,11,todos,DELETE,0.002944457984995097,66.7,80.9,200,
2025-04-07T22:12:37.843504,10,10,todos,UPDATE,0.003873625013511628,0.0,80.9,200,
2025-04-07T22:12:37.847493,10,10,categories,CREATE,0.002928834001068026,0.0,80.9,201,
2025-04-07T22:12:37.850479,10,11,categories,CREATE,0.0030011250055395067,0.0,80.9,201,
2025-04-07T22:12:37.853663,10,12,categories,UPDATE,0.0034728330210782588,0.0,80.9,200,
2025-04-07T22:12:37.857352,10,12,categories,DELETE,0.005662958021275699,0.0,80.9,200,
2025-04-07T22:12:37.863082,10,11,categories,UPDATE,0.006862791953608394,0.0,80.9,200,
2025-04-07T22:12:37.870095,10,11,categories,DELETE,0.003432040975894779,0.0,80.9,200,
2025-04-07T22:12:37.873586,10,10,categories,CREATE,0.006535541964694858,0.0,80.9,201,
2025-04-07T22:12:37.880243,10,11,categories,DELETE,0.004688375047408044,0.0,80.9,200,
2025-04-07T22:12:37.885092,10,10,categories,CREATE,0.008511457999702543,0.0,80.9,201,
2025-04-07T22:12:37.893677,10,11,categories,CREATE,0.0045295419986359775,0.0,80.9,201,
2025-04-07T22:12:37.898339,10,10,projects,DELETE,0.0031033330014906824,0.0,80.9,200,
2025-04-07T22:12:37.901568,10,9,projects,UPDATE,0.003488083020783961,0.0,80.9,200,
2025-04-07T22:12:37.905244,10,9,projects,UPDATE,0.003075541986618191,0.0,80.9,200,
2025-04-07T22:12:37.908544,10,9,projects,DELETE,0.0025969159905798733,0.0,80.9,200,
2025-04-07T22:12:37.911186,10,8,projects,UPDATE,0.0031392090022563934,0.0,80.9,200,
2025-04-07T22:12:37.914529,10,8,projects,CREATE,0.0032036249758675694,0.0,80.9,201,
2025-04-07T22:12:37.917875,10,9,projects,UPDATE,0.008311457990203053,0.0,80.9,200,
2025-04-07T22:12:37.926400,10,9,projects,UPDATE,0.00306695798644796,0.0,80.9,200,
